2026-05-26 15:09:34,927 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:35,081 - INFO - Scan success | 扫描成功: https://iamclient-pt-fed-ppd.bnpparibas-pf.com -> https://iamclient-pt-fed-ppd.bnpparibas-pf.com/
2026-05-26 15:09:35,993 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:36,050 - INFO - Scan success | 扫描成功: https://fr-fed-ppd-iamclient.bnpparibas-pf.com -> https://fr-fed-ppd-iamclient.bnpparibas-pf.com/
2026-05-26 15:09:36,269 - INFO - Scan success | 扫描成功: https://fr-fed-iamclient.bnpparibas-pf.com -> https://fr-fed-iamclient.bnpparibas-pf.com/
2026-05-26 15:09:37,303 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:37,378 - INFO - Scan success | 扫描成功: https://iamclient-pingfedfr.staging.bnpparibas-pf.com -> https://iamclient-pingfedfr.staging.bnpparibas-pf.com/
2026-05-26 15:09:37,593 - INFO - Scan success | 扫描成功: https://iampart-fed-de-ppd.bnpparibas-pf.com -> https://iampart-fed-de-ppd.bnpparibas-pf.com/
2026-05-26 15:09:37,598 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:37,861 - INFO - Scan success | 扫描成功: https://iampart-fed-pt.bnpparibas-pf.com -> https://iampart-fed-pt.bnpparibas-pf.com/
2026-05-26 15:09:40,297 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:40,536 - INFO - Scan success | 扫描成功: https://iampart-pingfedes.staging.bnpparibas-pf.com -> https://iampart-pingfedes.staging.bnpparibas-pf.com/
2026-05-26 15:09:41,635 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:42,063 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:42,257 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:42,338 - INFO - Scan success | 扫描成功: https://iampart-pingfed-pt-ppd.bnpparibas-pf.com -> https://iampart-pingfed-pt-ppd.bnpparibas-pf.com/
2026-05-26 15:09:42,381 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:42,424 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:42,441 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:42,685 - INFO - Scan success | 扫描成功: https://iampart-pingfedde.staging.bnpparibas-pf.com -> https://iampart-pingfedde.staging.bnpparibas-pf.com/
2026-05-26 15:09:42,724 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:42,987 - INFO - Scan success | 扫描成功: https://iampart-fed-fr-ppd.bnpparibas-pf.com -> https://iampart-fed-fr-ppd.bnpparibas-pf.com/
2026-05-26 15:09:43,670 - INFO - Scan success | 扫描成功: https://iampart-fed-ppd.bnpparibas-pf.com -> https://iampart-fed-ppd.bnpparibas-pf.com/
2026-05-26 15:09:43,887 - INFO - Scan success | 扫描成功: https://iampart-pingfed.bnpparibas-pf.com -> https://iampart-pingfed.bnpparibas-pf.com/
2026-05-26 15:09:43,895 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:43,911 - INFO - Scan success | 扫描成功: https://iampart-pingfed.staging.bnpparibas-pf.com -> https://iampart-pingfed.staging.bnpparibas-pf.com/
2026-05-26 15:09:44,085 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:44,314 - INFO - Scan success | 扫描成功: https://iampart-fedfr.bnpparibas-pf.com -> https://iampart-fedfr.bnpparibas-pf.com/
2026-05-26 15:09:45,564 - INFO - Scan success | 扫描成功: https://login.cafineo.fr -> https://login.cafineo.fr/
2026-05-26 15:09:45,674 - INFO - Scan success | 扫描成功: https://iampart-pingfed-fr.staging.bnpparibas-pf.com -> https://iampart-pingfed-fr.staging.bnpparibas-pf.com/
2026-05-26 15:09:46,984 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:48,323 - INFO - Scan success | 扫描成功: https://login.cetelem.fr -> https://login.cetelem.fr/
2026-05-26 15:09:58,537 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:58,537 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:59,250 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
